Date,Open,High,Low,Close,Volume
24-Dec-14,4.95,5.05,4.93,5.04,908203
23-Dec-14,4.92,4.92,4.75,4.84,2007948
22-Dec-14,5.13,5.14,4.84,4.91,2489151
19-Dec-14,4.56,4.84,4.52,4.82,2054566
18-Dec-14,4.57,4.67,4.33,4.37,6809333
17-Dec-14,4.24,4.65,3.79,4.62,5447560
16-Dec-14,3.68,4.24,3.60,4.00,6778307
15-Dec-14,4.27,4.32,4.00,4.05,4293138
12-Dec-14,4.74,4.77,4.60,4.61,2307384
11-Dec-14,4.87,4.88,4.73,4.73,2116323
10-Dec-14,5.10,5.12,4.92,4.97,2118554
9-Dec-14,5.07,5.10,5.02,5.08,2004444
8-Dec-14,5.16,5.17,5.05,5.10,1992627
5-Dec-14,5.32,5.42,5.29,5.40,1284967
4-Dec-14,5.43,5.46,5.35,5.36,1368538
3-Dec-14,5.45,5.62,5.45,5.56,1146228
2-Dec-14,5.51,5.52,5.38,5.45,2119109
1-Dec-14,5.55,5.72,5.50,5.69,2237050
28-Nov-14,5.87,5.88,5.78,5.79,1968042
26-Nov-14,6.20,6.29,6.18,6.24,1023922
25-Nov-14,6.36,6.39,6.26,6.28,1184855
24-Nov-14,6.47,6.50,6.43,6.48,1295551
21-Nov-14,6.41,6.43,6.33,6.39,641203
20-Nov-14,6.25,6.30,6.23,6.28,882446
19-Nov-14,6.21,6.25,6.18,6.22,1389346
18-Nov-14,6.14,6.16,6.09,6.10,782153
17-Nov-14,6.08,6.14,6.03,6.08,1070864
14-Nov-14,6.02,6.15,6.02,6.14,650758
13-Nov-14,6.18,6.20,6.07,6.10,1370262
